rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| light | `#433c31` | 10.4px/300 | #bg-canvas | 6.78 | 4.5 | 6 | 2 | `span` |
| light | `#000000` | 13.0px/300 | opaque #b18d4d | 6.79 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 13.1px/300 | #bg-canvas | 6.83 | 4.5 | 6 | 2 | `span` |
| light | `#433c31` | 11.2px/300 | #bg-canvas | 6.83 | 4.5 | 30 | 8 | `span.tl-year.end` |
| light | `#433c31` | 12.8px/400 | #bg-canvas | 6.84 | 4.5 | 27 | 12 | `span.count` |
| light | `#544019` | 12.2px/300 | #bg-canvas | 6.86 | 4.5 | 5 | 2 | `a.daily-enter` |
| light | `#433c31` | 13.8px/500 | opaque #d3cdc0 | 6.87 | 4.5 | 1 | 1 | `a` |
| light | `#000000` | 13.0px/300 | opaque #b28e4d | 6.87 | 4.5 | 2 | 1 | `text.md-flag` |
| dark | `#e8c98a` | 13.8px/700 | opaque #3d3c3b | 6.89 | 4.5 | 1 | 1 | `a.active` |
| light | `#000000` | 13.0px/300 | opaque #af8f56 | 6.89 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 13.8px/500 | opaque #d1cfb9 | 6.91 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #d2cec3 | 6.92 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#000000` | 13.0px/300 | opaque #b28f4e | 6.93 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#433c31` | 12.5px/500 | opaque #d8ceb7 | 6.96 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 11.5px/300 | #bg-canvas | 6.97 | 4.5 | 14 | 1 | `span.mc-meta` |
| light | `#433c31` | 13.8px/500 | opaque #e0ccbc | 7.01 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #dbceb8 | 7.01 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 16.8px/300 | cover | 7.02 | 4.5 | 2 | 1 | `p.lede` |
